"measurehash","specieshash","measurecode","type_legal","type_administrative","type_contractual","type_recurrent","type_oneoff","rankingcode","location_inside","location_outside","location_both","broad_evaluation_maintain","broad_evaluation_enhance","broad_evaluation_longterm","broad_evaluation_noeffect","broad_evaluation_unknown","broad_evaluation_notevaluated"
"8757a846e7f685253d5897152752b305","bbefde0de2214d389d8a555fc0a644c9","3.2",True,True,False,True,False,"H",True,False,False,True,False,False,False,False,False
"169c0edc624d0d24cbc277d52328ba31","36c0ca75d16accd99a71bea1fa373b2a","4.2",False,False,False,True,True,"H",True,False,False,True,False,False,False,False,False
"0f9f977b84edb7d7f94ae750f6616e3a","36c0ca75d16accd99a71bea1fa373b2a","4.0",False,False,False,True,True,"H",True,False,False,True,False,False,False,False,False
"be6ae221d56ea1a7928f1e15a2ae06c1","36c0ca75d16accd99a71bea1fa373b2a","7.4",False,False,False,False,True,"H",True,False,False,True,False,False,False,False,False
"1358260ebebf076ea13059246c8dfd09","bb924c8a229b9413cdf4b45add1084da","2.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"c330e98239f084ac67a49bb9c7f0fba2","8493d42d1f1054eac40a6c354f0ee7fb","1.1",False,False,False,False,False,"H",False,False,False,True,False,False,False,False,False
"f2f986e1917cb2fa953c8ddfcb1bf04a","8ce071311de017eb781ea232270633e2","7.0",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"b112ef863a246bda7dca885a044ad7fc","bc295c631908f1d4df91fcfba1fbc188","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"7184d457be9fd6140323772cf1bb101a","bc295c631908f1d4df91fcfba1fbc188","7.1",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"830da1b428312082916c48b516dba799","50abb3764e3740b7c06e62ef6dc4bb75","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"fb2e8c4ee5974ad83062f1713b4de0c1","67be076a3277da861313cfc2685b9f9c","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"3d558f98eb431562704c4d9d3ed50adb","67be076a3277da861313cfc2685b9f9c","7.1",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"7d708e627fd917c0c5caad02c3433205","61b5cf50672c0ed6b5d0a7a6b40411e5","3.1",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"25dce5b5ce737ac999d8a8fcd226aa79","61b5cf50672c0ed6b5d0a7a6b40411e5","3.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"669b1cc8f35adbeb7afba631a13b289b","27f08f2f645aa40cd141672b88f7d578","6.3",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"6460769cadade75a062048daaba48e32","0ac7a6a1bbb302b2c2adcd551878ff49","1.2",False,False,False,False,False,"",False,False,False,False,True,False,False,False,False
"2e74910575ae89c68a5400698725a518","a3027e99448101f1a034c9c933dcd0b3","2.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"84e0b0f930d54737037f1929d80e8126","a3027e99448101f1a034c9c933dcd0b3","2.0",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"1d3cc6c92bebb8821648ba83d37c1349","e86c8cabcfd055e7510a2942e08ec379","1.1",False,False,False,False,False,"",False,False,False,True,False,False,False,False,False
"9e316be9d942465a7a6b2e3b8bd88920","afb2e67308d251b571f2019aa8eb12a2","3.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"e18abaafcb1b0af8006119ae4769f3ba","79c6f168da2b76a5465fd0eb60971d2f","3.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"75e276eca8967fc448a5e30b0506486b","79c6f168da2b76a5465fd0eb60971d2f","3.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"ca2b4dc2a2a29cda9b0196f3be1ada33","b97e03c92725f33ab2e143c5a3ad9959","2.0",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"7950c53394ecb72251ca705b608a6227","fb2900aeb298f4f43cebaa3620ad7c6b","3.1",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"fa58cbab59358c33f46cd0ab77ccf9c1","84987af7f831240683b2225845c8ac34","7.4",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"e6bde5ff4a293336637e7bd68f619f12","84987af7f831240683b2225845c8ac34","6.3",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"d1b318ff09fba1ba704f87abd47b5c0f","f926c14fb3001fe790742227b741d756","3.2",False,False,False,True,False,"H",False,False,True,True,False,False,False,False,False
"55720f85d140af199510fb2abed10bb6","59ad1b0862de3bc2b12f893ba0a62a5b","3.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"0829b06d22a69d01e738d2bec2c90011","3849d00be98a21eb58710a8de0e107b7","3.2",True,True,False,True,False,"H",True,False,False,True,False,False,False,False,False
"09d53e82568ebc2c84e4e30eeeaf0cd1","3849d00be98a21eb58710a8de0e107b7","3.1",False,False,True,False,False,"H",True,False,False,True,False,False,False,False,False
"db46205374a93691a058e06a67ade5f0","2daf114d35144033a55b7e16d8beac85","6.0",False,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"cc034104271c6507e982e46f50296fec","9b19fcf46bc38253170ece0edd5bd845","2.0",False,False,False,True,False,"H",False,False,True,False,False,False,False,False,True
"d5342268b8bc592765f9d4518e58b5e9","fa8eaf6507ee07e06a11ebb142ae8a3a","4.0",False,False,True,False,True,"H",True,False,False,True,False,False,False,False,False
"f67f9202838c18945c72c1f139f01b78","c1ac261451aa3869eb02c593b123154e","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"e15de720f037307824a586d4bd9d259e","73e9ea3c437d41678327f5da956180ff","1.3",False,False,False,False,False,"H",False,False,False,True,False,False,False,False,False
"1b6d06652700335684be3d1ef65e9978","f9afcca80435c449d61953b846357aa8","3.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"7f910b2fa85e3fdf174fcb888a5f5ce8","f5233f6bb16e9d9e2bdc3ae041bbbaa2","3.1",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"fd5307e60df0eeafcda4829a1c1815a1","8a494635be5082e83598a82c4db4da3d","2.1",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"66bf7597c6a20298feee0527cd25ed62","8a494635be5082e83598a82c4db4da3d","2.0",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"d39e454b591c5acc44f43430bd75b79b","4a2d815813cf33e7c2e79880bdad6283","2.0",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"be8848447a3ba1b46678816a1fc3841c","1210fb001f864d88a994a8335ce8c43b","2.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"b0743a26984e2f467656c01337b6f0ed","1210fb001f864d88a994a8335ce8c43b","7.1",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"7d0021773c7f540229f627d5256d4135","1210fb001f864d88a994a8335ce8c43b","6.0",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"66efba053e0246286ce8272fb6cc87fb","74fff1d12cf0bfdce5cadb0fd98cd997","3.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"fda6df7593b257ed02a6d1391e42079b","74fff1d12cf0bfdce5cadb0fd98cd997","3.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"e5676d6877285d0e9c1d372a28e9d65b","74fff1d12cf0bfdce5cadb0fd98cd997","7.1",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"42d7b263ec7dd99271da5718f87ef102","74fff1d12cf0bfdce5cadb0fd98cd997","7.4",False,True,True,False,False,"H",True,False,False,True,False,False,False,False,False
"25b44e904a3117e177ec2e9c1475d617","74fff1d12cf0bfdce5cadb0fd98cd997","6.0",False,True,False,False,False,"M",True,False,False,True,False,False,False,False,False
"3ee699fdf5d3693c4ada7e60295ed1c9","2cd4e107d7a3735d9c8a9802213a2ef0","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"983b4ca15f024ecb9873c1f3201a0db6","067eaff34f4801db4da67179b0ed75cf","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"519009e52be6c7c228147cd27aacb260","7f15e197232f8e0aa2d9ac224c7eecdc","4.2",False,False,False,False,True,"H",True,False,False,True,False,False,False,False,False
"0f52cbf5502c491c76f473d691f732e6","10c061c82a6e4b48770adac20181e25c","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"812c6d8e258c1804dbeacf54484e8b81","10c061c82a6e4b48770adac20181e25c","7.1",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"fdeab8641ed6c8fb17f671066f6df791","8689f8490ef7b4acb676ef46ae314a6d","7.1",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"e3654610593ba11abcc8678697bf45fa","8689f8490ef7b4acb676ef46ae314a6d","4.2",True,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"bba8ae2d23a0881f4135ce7689d941b1","56598398b3ca329e66017f5537c7f30e","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"47be5bd35a7e820b08c17db4b9dda8d3","56598398b3ca329e66017f5537c7f30e","7.1",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"5d5369ebdc18f8cbb935696917e9b9d4","02ea74af443061f66a0c9de66a8e3156","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"bab1fe809838c7173ec91ee384461d4f","b888ae6caa4e0037428340f5350b5cc3","1.1",False,False,False,False,False,"H",False,False,False,True,False,False,False,False,False
"ff9a566ce3f28ac0ca60fc5da7c0e39e","c60e380bc73693ce4d3eb32b94a3a7c6","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"0cf5d9e06fae0d5dfbed4f8f5f76dfaf","201dbbd05172e3fc60f6ce23226a20ae","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"5a5d324ecbf055f1e7323f79e7a92eae","c230d4e2284d9eecf833735729414a05","4.2",False,False,False,False,True,"H",True,False,False,True,False,False,False,False,False
"bcc42e7fae70e47fb72f4b8a4b12ba4f","0124a41f4edb489f7651940852204a78","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"d919078bd9d4e0116334af47590cdad1","ad644e97a64d9bc276f26e8ad29e4db0","6.3",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"270a3fdbec75917d04d8b4444f8b729c","ad644e97a64d9bc276f26e8ad29e4db0","2.0",False,False,True,False,False,"H",True,False,False,True,False,False,False,False,False
"6166a9797ae8fd6c1138890c12d25b89","307c16d5b2dde6237081b75a9c648434","2.2",False,True,True,True,False,"H",True,False,False,True,False,False,False,False,False
"25a41d3579431d97b0d6329a1376ce78","14a081dfe1fcf234119ec0bdbab8543f","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"b787e462f413ad9ce2c3c95a01ebd6ef","389dcdacbdc86e5051d2b724b09c611f","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"7f5230b248fa28edde8a73ebc3d1db7f","b2788a11f2d161a3ce255d26aa5986af","2.0",False,False,False,False,True,"H",True,False,False,True,False,False,False,False,False
"73754aa18a01d326b66acd53fca33784","b2788a11f2d161a3ce255d26aa5986af","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"44f3004f81fe8c96d2244ae54d24f4ae","911ac3540a7b902a09b877e66d819bfc","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"1b25df6f3fdd51ddc8201ea4ea9c9a56","911ac3540a7b902a09b877e66d819bfc","2.1",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"8742e665660fdd08017c3e2d5529b5ab","cf2d3fb8623e7c174d98df82a71b7f1a","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"af8d5b8ebe34e3e072dca4e77c599806","cf2d3fb8623e7c174d98df82a71b7f1a","2.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"480c3053deab5d948f1bf26dc9c74327","5603ff172bde71e73827e7c20d874ab4","1.1",False,False,False,False,False,"H",False,False,False,True,False,False,False,False,False
"54bb087a57b5ed86927e44e185af3c86","d721e98f98d31d6c5bf626b3807c72b8","1.1",False,False,False,False,False,"H",False,False,False,True,False,False,False,False,False
"08011219a3757e6c8c3d13c830913aef","d0654c991934cf7e481ee11eb65c9e22","4.2",False,False,True,True,False,"H",True,False,False,True,False,False,False,False,False
"f0de410a64654e15924f0b5167fee279","c9a51723f9d99d03f28063dc9fc886ed","7.1",True,True,False,False,False,"H",True,False,False,True,False,False,False,False,False
"5517aecedcc9ac13409a72e2cd5a221f","c9a51723f9d99d03f28063dc9fc886ed","6.3",True,False,False,False,False,"H",True,False,False,True,False,False,False,False,False
"597e20171ef8625f5fc79e94e318d3a3","99c0c45ec790a1c1654e74e71f65c240","2.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"b3bd72744b0f4312c9855b16c89c9fa6","99c0c45ec790a1c1654e74e71f65c240","2.1",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"63c606167b169fcca4bb670114d4cfed","99c0c45ec790a1c1654e74e71f65c240","7.4",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"0268325552051d51926036e97e743f14","99c0c45ec790a1c1654e74e71f65c240","8.2",False,False,False,False,True,"H",False,False,True,True,False,False,False,False,False
"b4ef8a1c236c8591391baf71e68d6d0c","2d6ca49165cbd4188dc8a276cb1e6a62","7.4",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"41fd7d599021b58d601fdbcb046fbdb3","2d6ca49165cbd4188dc8a276cb1e6a62","4.2",False,False,False,True,False,"H",True,False,False,True,False,False,False,False,False
"33d06ee7ef48402251012e3079812312","3f08efd1e312849cbecdb42ed481d03c","4.2",False,False,True,True,True,"H",True,False,False,True,False,False,False,False,False
"ec8903dd75cd7ca5df7cb584f4ba1b5d","af2b419ecb7eec37b83204dd56b831f5","4.2",False,False,False,True,False,"H",False,False,True,True,False,False,False,False,False
"42aac2f8884a4c59d9db513fac8a7b81","af2b419ecb7eec37b83204dd56b831f5","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"87b9e9262a8b21140b72d2d38b6e78f3","af2b419ecb7eec37b83204dd56b831f5","6.3",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"fb1732cfc9bd0b8b9e315f1ee70b810d","84159cc12365b07903a48c04e12aa17b","4.2",False,False,False,True,False,"H",False,False,True,True,False,False,False,False,False
"968fd4c643b79ba68b55d18e16424d53","84159cc12365b07903a48c04e12aa17b","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"9c925c293f41e48d06a336013a84785e","84159cc12365b07903a48c04e12aa17b","6.3",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"f31c179c54ea0ee0011671043c19ef07","55d752d99fd90f5c09254dfcd2b75078","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"1a64a904410fdc2e04600589e256fe7c","55d752d99fd90f5c09254dfcd2b75078","6.3",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"0ec4dc91dd12f1c5974e3d124c2cbed4","4e09565121ea78c9c0d1ebc3e59bcfbb","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"380b8149c1e0dea677ba6678d4e284dd","4e09565121ea78c9c0d1ebc3e59bcfbb","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"44b152beca3859579b68c61135f60057","17046ba5083aabb29bd55e46c998e55c","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"67cc95024f604dda54e5113af9efba1f","17046ba5083aabb29bd55e46c998e55c","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"ff71424315bc0435e17bbd7b1c859e2e","0fb9c8697c3f8988812b7dd5b0667a4e","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"e247a70cf3feae1ca9cd3a3b830b9193","0fb9c8697c3f8988812b7dd5b0667a4e","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"c13f08bb878adc98c26f2903383e03dd","850331b34a773a17e6664a3c0444653a","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"35725bc22ee7db59dc2829cf15e756f8","850331b34a773a17e6664a3c0444653a","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"c5e7930292fe0fb6b6fe77d7bf0cdff0","20a1759f189f8d7b13be7414e4bf1bd1","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"7ffe7b2cf95e9c61e01ec75ed8d43acb","20a1759f189f8d7b13be7414e4bf1bd1","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"e09c259e838b1fa0efec812fb15ef143","7da6724f67cd127605aae73a30413f01","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"2dfd6ce52d38e6717645f19d645a3327","7da6724f67cd127605aae73a30413f01","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"5fb4f6af974399c7e6c38d1d82765816","b11e509a99498bf22f3dd6b98b0ace08","6.1",True,True,True,False,False,"M",False,False,True,True,False,False,False,False,False
"37a043d94d4169829fd62f6363e79fd2","b11e509a99498bf22f3dd6b98b0ace08","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"4d437f2f327fe5f339d47d0a97a283f2","f67d5511e85cb81d5fd9e8e2529f8c96","6.1",True,True,True,False,False,"M",False,False,True,True,False,False,False,False,False
"ecc2344f5041d201d3e371b14a404153","f67d5511e85cb81d5fd9e8e2529f8c96","6.3",True,False,False,False,False,"H",False,False,True,True,False,True,False,False,False
"c2f8f31dadd144136399b6992ff1ee1e","4275756fc13643e355385dce3362c267","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"bcf274a3f15713e994345a5b2fe6ce7a","4275756fc13643e355385dce3362c267","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"490cdd3094b83fb01f846e36a0442766","510ebf8ea18273f764bee0e5f37ba37c","6.1",True,True,True,False,False,"M",False,False,True,True,False,False,False,False,False
"9b3e71d89eca75fd5484183c32b7e771","510ebf8ea18273f764bee0e5f37ba37c","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"848a7df3e2e5833c079dc876f2966355","f529210bd39705829cff8ed9d551ca04","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"827fe088bcef2250b1013a63dedcce74","f529210bd39705829cff8ed9d551ca04","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"cd57c8aad7770760309a29388939b87e","a4eda825624f8254eaf79a511b613f2c","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"5fbddfb8f93f2bbd42868859fd6415a3","a4eda825624f8254eaf79a511b613f2c","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"a748fc4a50db3f19ec44cb17579e7fd5","7c0a6ae128bf185971a976fa6e12f12c","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"3c8ff81800bd4c6c2accd7f8abbf5816","7c0a6ae128bf185971a976fa6e12f12c","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"73615c6b78a9b1673d795f0734f96340","e4b23f2ad4fa5c97bd12ea00f5b31f90","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"0755ddff321034fdc6bdf71e4bdeabd9","e4b23f2ad4fa5c97bd12ea00f5b31f90","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"5cb7f1eb92081335b4977681b9a73b62","28fe9c57a0c4c8ea67074f2cb11414a1","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"9c7c279d0e96b86b63b22c6d6b67863e","28fe9c57a0c4c8ea67074f2cb11414a1","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"e6c2030247c6250f55bbf3e3879810be","05134a73623ebffeb3e52a29bb4f2dec","4.2",False,False,False,True,False,"H",False,False,True,True,False,False,False,False,False
"c41176ca24f2c2dfe02785538c934aca","05134a73623ebffeb3e52a29bb4f2dec","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"446a45b59a86b884cc2cebd7c95140bb","05134a73623ebffeb3e52a29bb4f2dec","6.3",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"a59e7a01100e99d19d4ce9202678693a","0bc47f17a3568f620ca872154f82ce4f","6.1",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"05a914a5b5c6fcf7d3631766451eb866","0bc47f17a3568f620ca872154f82ce4f","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"132f56f7bfd136fb58311a0d6a0e49a6","367e33ebefe12f93670b3b3c9ef2cac4","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"653fcd432faf6296be102fe20de903ea","367e33ebefe12f93670b3b3c9ef2cac4","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"3c9f20dac27fdb4756a7a99353f762c0","691546c82225ed69e3bf6997275ed8ec","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"441989999aef380ea2d71fd8fd7db6ce","691546c82225ed69e3bf6997275ed8ec","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"4c5934778190d68d610a50ce879c3bb5","f281a8cfaee0a4a1d062e3420d4d6767","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"c23b883365061b06a38b95de8c4491d7","f281a8cfaee0a4a1d062e3420d4d6767","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"a6841b4ab355efedcbdde5bb93d6011e","8ffb117809ea8a6ac60ba61547d1cac5","6.1",True,True,True,False,False,"M",False,False,True,True,False,False,False,False,False
"7f2a552d2abd20419cde055d46e5cf29","8ffb117809ea8a6ac60ba61547d1cac5","6.3",True,True,True,False,False,"M",False,False,True,True,False,True,False,False,False
"3b16cc2f0e03cc69173cd3f894e36646","ab447deabc0056d6029e1fa09e2cd745","6.1",True,True,True,False,False,"H",False,False,True,True,False,False,False,False,False
"8b1c909a105ddfe58f2e1374af802b17","ab447deabc0056d6029e1fa09e2cd745","6.3",True,True,True,False,False,"H",False,False,True,True,False,True,False,False,False
"1003fc48280e287553b73e40a1aba9a6","75c30b910758e6b73082950d7bc69369","2.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"0519ca6609bf022e6ee3f7e50551fb23","75c30b910758e6b73082950d7bc69369","3.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"c5d60a01dc1013ac9d7b15f71b59ad48","75c30b910758e6b73082950d7bc69369","6.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"00e4f77a577f24bbb9e75d53607d02e7","75c30b910758e6b73082950d7bc69369","6.3",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"e7eaf7b00b66ba2165c7bafd629ed8ca","75c30b910758e6b73082950d7bc69369","6.4",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"32885f5276d3c21b1657011034633aba","9899ca75962c9e4cd5595e07ebfb5f13","2.1",True,True,False,True,False,"H",False,False,True,False,True,False,False,False,False
"5c4b08242abce132376b2ed67b254b0b","9899ca75962c9e4cd5595e07ebfb5f13","3.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"c5a839d228dddbd7689ada8e3800053f","9899ca75962c9e4cd5595e07ebfb5f13","6.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"07cdfbcd825b277a590b86ba01677886","9899ca75962c9e4cd5595e07ebfb5f13","6.3",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"d47f0ff61e8e4b01d3708334065ad0ea","9899ca75962c9e4cd5595e07ebfb5f13","6.4",False,False,True,False,False,"H",False,False,True,False,True,False,False,False,False
"facf57f14acbadd167ed7eb8a7a3cc72","9899ca75962c9e4cd5595e07ebfb5f13","7.1",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"9e7ab39966fe95817bc7a70d1bd55f78","9899ca75962c9e4cd5595e07ebfb5f13","9.1",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"a1814b64653ae70da5b2d1ad05cdac46","72ffb6caa4963d5013c06981e4928a60","2.1",True,True,False,True,False,"H",False,False,True,False,True,False,False,False,False
"d42a21a1259346068ba8cdae24216328","72ffb6caa4963d5013c06981e4928a60","3.1",True,True,False,True,False,"H",False,False,True,False,True,False,False,False,False
"1b55b8efe806e6b6c0fef307e67463a7","72ffb6caa4963d5013c06981e4928a60","6.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"14932665b32e884f33ad0c5eae4c6344","72ffb6caa4963d5013c06981e4928a60","6.3",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"131a3809eb9afd031285588c3fddcd8c","72ffb6caa4963d5013c06981e4928a60","6.4",False,False,True,False,False,"H",False,False,True,False,True,False,False,False,False
"0564f7d163dd270a8ceb47326394e02e","72ffb6caa4963d5013c06981e4928a60","7.1",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"e7b27fb0799ac9fca04d1ddace6d6658","72ffb6caa4963d5013c06981e4928a60","9.1",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"62ddd34e5e632827219e916dcbc5df58","6ffb98bf9006727ddf2fdfd6ea5c3a2c","2.1",True,True,False,True,False,"M",False,False,True,False,True,False,False,False,False
"a403893a41b00c580a8905d4c2e94ac9","6ffb98bf9006727ddf2fdfd6ea5c3a2c","3.1",True,True,False,True,False,"L",False,False,True,False,False,True,False,False,False
"67e8076799b89254c8e5c711a05f0b00","6ffb98bf9006727ddf2fdfd6ea5c3a2c","6.1",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"076bbaa20c14522151636083c50beea9","6ffb98bf9006727ddf2fdfd6ea5c3a2c","6.3",True,True,False,True,False,"H",False,False,True,False,False,True,False,False,False
"bdb18921370bb5052553a745060b4d90","6ffb98bf9006727ddf2fdfd6ea5c3a2c","6.4",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"af7ecfc24c04ae506651d79456818070","6ffb98bf9006727ddf2fdfd6ea5c3a2c","7.1",True,True,False,True,False,"M",False,False,True,False,False,True,False,False,False
"54b9d45ee9ecf9b532e2aa6d26dd648b","6ffb98bf9006727ddf2fdfd6ea5c3a2c","9.1",False,True,False,False,False,"M",False,True,False,False,False,True,False,False,False
"d165fa390c553a4d68c35e8f3d18ba29","ac41d26f568864569342b01d3c37f852","1.2",True,True,True,True,True,"H",False,False,True,True,True,True,False,False,False
"ac3e9c8d14786ef27d1bb26eaf9ef72d","ac41d26f568864569342b01d3c37f852","2.1",True,True,False,True,False,"H",False,False,True,True,True,True,False,False,False
"a0562e7518eae05ef6404bcbca689143","ac41d26f568864569342b01d3c37f852","3.1",True,True,False,True,False,"H",False,False,True,True,True,True,False,False,False
"b1d20aad659385be5d7dab8efc804062","ac41d26f568864569342b01d3c37f852","3.2",False,True,False,False,False,"H",False,False,True,False,False,False,False,True,True
"e94126656851ad31c14834a201038bf2","ac41d26f568864569342b01d3c37f852","4.2",False,True,False,False,True,"M",False,False,True,True,True,True,False,False,False
"87073e83d83d6815bd94fbfced881333","ac41d26f568864569342b01d3c37f852","6.1",True,True,False,True,False,"H",False,False,True,True,True,True,False,False,False
"1283dc0f4f25def273c4537be8e867e9","ac41d26f568864569342b01d3c37f852","6.2",True,True,True,True,False,"M",False,False,True,True,True,True,False,False,True
